library	cells	predicted_doublets	median_doublet_score
Masopust_053_1a	3188	1	0.10097719869706837
Masopust_053_1b	2658	4	0.1028368794326241
Masopust_053_2a	4081	3	0.09374999999999999
Masopust_053_2b	3901	2	0.09004092769440658
Masopust_053_3a	2799	2	0.08730158730158728
Masopust_053_3b	2311	6	0.09318996415770608
Masopust_053_6a	4851	0	0.10926694329183954
Masopust_053_6b	4913	0	0.1046979865771812
Masopust_054_A	3179	2	0.0826210826210826
Masopust_054_B	2565	1	0.13303769401330376
Masopust_054_C	2886	1	0.1137614678899082
Masopust_054_D	2649	4	0.1088560885608856
Masopust_054_E	997	0	0.12101910828025479
